Date,Away,Home,Over,Under
2/17/2021,Hawks,Celtics,224.5,224.5
2/17/2021,Rockets,76ers,225.5,225.5
2/17/2021,Nuggets,Wizards,232.5,232.5
2/17/2021,Pacers,Timberwolves,227.5,227.5
2/17/2021,Pistons,Bulls,223.5,223.5
2/17/2021,Trail Blazers,Pelicans,229.5,229.5
2/17/2021,Thunder,Grizzlies,223.5,223.5
2/17/2021,Heat,Warriors,224.5,224.5
2/17/2021,Jazz,Clippers,222,222
2/17/2021,Knicks,Magic,210.5,210.5
