Date,Away,Home,Over,Under
2/12/2021,Spurs,Hawks,228,228
2/12/2021,Pelicans,Mavericks,233.5,233.5
2/12/2021,Clippers,Bulls,228.5,228.5
2/12/2021,Pistons,Celtics,219.5,219.5
2/12/2021,Thunder,Nuggets,223.5,223.5
2/12/2021,Bucks,Jazz,232.5,232.5
2/12/2021,Grizzlies,Lakers,221.5,221.5
2/12/2021,Magic,Kings,206,206
2/12/2021,Cavaliers,Trail Blazers,221.5,221.5
2/12/2021,Timberwolves,Hornets,226.5,226.5
2/12/2021,Knicks,Wizards,221,221
