Date,Away,Home,Over,Under
2/16/2021,Nuggets,Celtics,222,222
2/16/2021,Pelicans,Grizzlies,228,228
2/16/2021,Trail Blazers,Thunder,225.5,225.5
2/16/2021,Lakers,Timberwolves,222.5,222.5
2/16/2021,Raptors,Bucks,233,233
2/16/2021,Nets,Suns,230,230
