Date,Away,Home,Over,Under
2/13/2021,76ers,Suns,228,228
2/13/2021,Pacers,Hawks,226.5,226.5
2/13/2021,Rockets,Knicks,209.5,209.5
2/13/2021,Nets,Warriors,243.5,243.5
2/13/2021,Heat,Jazz,218.5,218.5
