Date,Away,Home,Over,Under
2/14/2021,Celtics,Wizards,231.5,231.5
2/14/2021,Pelicans,Pistons,222.5,222.5
2/14/2021,Timberwolves,Raptors,228,228
2/14/2021,Spurs,Hornets,228.5,228.5
2/14/2021,Trail Blazers,Mavericks,235.5,235.5
2/14/2021,Bucks,Thunder,225.5,225.5
2/14/2021,Magic,Suns,217.5,217.5
2/14/2021,Grizzlies,Kings,229.5,229.5
2/14/2021,Cavaliers,Clippers,219.5,219.5
2/14/2021,Lakers,Nuggets,216.5,216.5
