Date,Away,Home,Over,Under
2/15/2021,Rockets,Wizards,228.5,228.5
2/15/2021,Bulls,Pacers,230,230
2/15/2021,Hawks,Knicks,213,213
2/15/2021,76ers,Jazz,227,227
2/15/2021,Heat,Clippers,220.5,220.5
2/15/2021,Nets,Kings,237.5,237.5
2/15/2021,Cavaliers,Warriors,223.5,223.5
