Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brooklyn Nets,28,243.6,43.6,87.6,.497,14.5,36.6,.396,29.1,51.0,.570,19.3,23.4,.826,8.4,36.0,44.4,27.0,6.3,5.8,15.2,19.9,120.9
2,Milwaukee Bucks,26,240.0,45.2,91.7,.493,15.3,38.2,.401,29.9,53.5,.559,15.5,21.2,.731,10.6,37.3,47.8,26.6,8.3,4.8,13.6,18.3,121.2
3,Los Angeles Clippers,27,240.0,41.7,86.1,.485,14.6,34.5,.422,27.2,51.6,.527,17.3,20.4,.848,9.4,34.6,44.0,24.1,7.7,4.8,13.2,18.9,115.3
4,Utah Jazz,27,240.0,40.7,87.4,.466,16.7,42.3,.395,24.0,45.1,.532,16.9,21.9,.770,11.2,37.8,49.0,23.9,5.9,5.8,14.6,18.9,115.0
5,Philadelphia 76ers,27,240.9,41.4,86.4,.480,10.4,29.1,.359,31.0,57.3,.541,20.8,26.8,.777,10.3,35.4,45.7,23.3,8.7,6.1,15.7,20.1,114.1
6,Golden State Warriors,27,240.0,41.1,89.1,.462,14.2,38.1,.372,26.9,50.9,.529,17.5,22.7,.772,8.1,35.9,43.9,27.1,7.5,5.4,14.4,22.4,113.9
7,Los Angeles Lakers,27,243.7,42.3,87.1,.486,11.0,30.3,.364,31.3,56.8,.551,17.5,23.2,.753,9.8,36.0,45.8,25.0,7.2,6.1,15.2,18.4,113.2
8,Indiana Pacers,27,241.9,42.4,89.2,.475,12.6,33.9,.371,29.9,55.4,.539,15.4,20.0,.769,8.7,33.8,42.5,27.0,8.4,5.8,13.3,20.5,112.7
9,Dallas Mavericks,27,240.9,40.7,87.7,.465,13.0,37.1,.350,27.7,50.6,.548,18.2,23.4,.778,8.5,34.1,42.6,23.2,6.5,4.4,12.1,21.0,112.7
10,Charlotte Hornets,27,240.9,40.7,89.0,.457,13.8,36.3,.380,26.9,52.7,.509,16.1,21.0,.768,11.1,33.4,44.4,27.6,8.0,4.9,14.9,18.3,111.3
11,Toronto Raptors,26,240.0,40.2,88.9,.452,15.8,40.8,.389,24.3,48.1,.506,17.7,21.5,.823,9.8,32.3,42.2,25.0,9.1,5.6,13.9,22.3,114.0
12,Atlanta Hawks,26,241.9,39.6,88.2,.449,12.4,34.8,.356,27.2,53.3,.510,21.3,26.1,.816,11.0,35.3,46.3,24.9,6.6,4.8,14.3,20.3,112.8
13,New York Knicks,28,240.0,38.7,85.8,.451,9.8,27.5,.355,28.9,58.3,.496,16.3,21.4,.761,10.6,36.6,47.1,21.1,6.7,4.9,13.6,20.9,103.4
14,Portland Trail Blazers,25,241.0,40.7,92.1,.442,16.0,41.9,.383,24.6,50.2,.491,17.8,21.5,.831,10.7,34.0,44.6,19.8,7.5,4.8,11.3,19.5,115.2
15,Denver Nuggets,25,245.0,43.2,90.0,.480,13.0,34.5,.378,30.1,55.5,.543,15.9,20.6,.772,10.8,33.5,44.3,26.8,8.4,4.4,13.8,19.6,115.2
16,San Antonio Spurs,26,241.0,41.4,91.7,.452,10.8,29.9,.361,30.6,61.8,.495,17.1,21.6,.791,9.3,36.0,45.2,25.0,6.9,5.1,11.2,17.3,110.7
17,Chicago Bulls,25,241.0,42.3,88.1,.480,13.7,35.9,.382,28.6,52.2,.548,16.4,20.5,.799,8.8,34.8,43.6,26.3,7.3,4.1,16.4,20.4,114.7
18,Orlando Magic,27,240.9,39.1,90.7,.431,11.4,32.2,.353,27.7,58.5,.474,15.9,20.3,.781,11.6,35.2,46.8,22.4,7.0,4.0,13.6,17.3,105.4
19,Sacramento Kings,25,241.0,42.0,88.4,.475,12.5,33.5,.373,29.5,54.9,.538,17.1,23.8,.716,10.3,33.3,43.6,25.9,6.6,5.3,14.1,20.0,113.6
20,Houston Rockets,26,241.0,39.2,87.8,.446,14.0,40.7,.345,25.2,47.2,.533,16.4,21.9,.750,8.7,35.2,43.8,23.0,7.8,5.7,15.1,20.3,108.8
21,New Orleans Pelicans,25,241.0,41.8,87.6,.477,11.7,32.2,.362,30.1,55.3,.544,18.0,24.8,.726,11.3,34.8,46.1,24.6,7.4,4.0,14.5,17.6,113.2
22,Detroit Pistons,26,245.8,38.3,88.4,.434,12.6,35.9,.351,25.7,52.5,.490,19.1,24.4,.781,10.6,32.1,42.7,23.9,7.8,4.9,14.8,20.5,108.4
23,Minnesota Timberwolves,26,241.0,40.3,91.8,.439,12.4,35.4,.350,27.9,56.4,.495,14.9,20.1,.743,11.0,32.4,43.4,24.4,8.6,5.6,14.1,21.4,107.9
24,Cleveland Cavaliers,27,243.7,39.4,87.7,.449,9.1,26.6,.342,30.3,61.1,.496,15.9,22.3,.715,11.4,32.2,43.6,23.1,8.6,5.2,15.3,18.9,103.9
25,Phoenix Suns,25,244.0,41.2,87.2,.473,12.9,35.7,.361,28.4,51.5,.551,15.5,18.7,.827,8.8,35.3,44.1,25.8,6.2,4.2,13.6,20.9,110.8
26,Boston Celtics,25,240.0,41.0,88.2,.464,12.5,32.6,.385,28.4,55.7,.511,16.4,21.6,.758,11.0,32.9,43.8,22.3,8.4,4.8,14.0,20.6,110.8
27,Miami Heat,26,241.9,37.8,82.1,.461,13.2,37.0,.357,24.7,45.1,.546,17.3,22.1,.784,7.0,35.1,42.1,25.4,6.8,3.8,16.8,19.7,106.2
28,Oklahoma City Thunder,25,243.0,39.8,88.5,.449,12.6,37.6,.337,27.1,51.0,.532,15.2,20.6,.736,7.7,37.1,44.8,23.1,7.3,4.7,14.6,18.1,107.4
29,Washington Wizards,23,240.0,40.8,90.7,.450,11.7,34.4,.340,29.1,56.3,.518,19.5,25.8,.756,10.1,33.8,43.9,24.8,7.0,3.9,13.9,22.2,112.9
30,Memphis Grizzlies,21,241.2,42.2,91.1,.463,11.7,32.1,.364,30.5,59.0,.517,14.6,18.7,.783,11.1,33.3,44.4,28.5,9.8,5.1,14.2,18.9,110.7
,League Average,26,241.5,40.9,88.5,.463,12.9,34.9,.369,28.1,53.6,.524,17.1,22.1,.774,9.9,34.7,44.6,24.7,7.5,5.0,14.2,19.8,111.9
