Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
13,Atlanta Hawks,27,241.9,39.4,88.0,.448,12.3,34.7,.355,27.1,53.3,.509,21.6,26.3,.820,11.0,35.1,46.1,24.6,6.6,4.9,14.2,20.2,112.8
14,New York Knicks,29,240.0,38.8,85.7,.453,10.0,27.7,.361,28.8,58.0,.496,16.4,21.6,.763,10.6,36.4,47.0,21.1,6.6,4.9,13.4,21.0,104.0
15,Cleveland Cavaliers,29,243.4,39.4,88.1,.448,9.0,26.7,.337,30.4,61.4,.496,16.0,22.3,.718,11.5,32.2,43.7,23.0,8.5,5.1,15.4,19.4,103.9
16,Denver Nuggets,26,244.8,43.0,89.8,.479,13.3,35.0,.380,29.7,54.8,.542,16.2,21.1,.770,10.8,33.7,44.4,26.8,8.3,4.4,13.7,19.8,115.5
17,Portland Trail Blazers,26,241.0,40.8,91.8,.445,16.1,41.8,.385,24.7,50.0,.495,17.7,21.4,.826,10.7,33.7,44.3,19.6,7.5,4.7,11.4,19.6,115.5
18,San Antonio Spurs,27,240.9,41.7,91.9,.453,10.8,30.1,.358,30.9,61.8,.500,17.0,21.5,.793,9.3,35.9,45.1,25.2,7.1,5.0,11.1,17.2,111.1
19,Chicago Bulls,26,241.9,42.4,88.6,.478,13.7,35.8,.383,28.7,52.8,.543,16.5,20.5,.801,9.0,35.3,44.2,26.3,7.2,4.0,16.5,20.6,114.9
20,Houston Rockets,27,240.9,39.3,88.0,.447,13.8,40.5,.341,25.5,47.4,.538,16.7,22.3,.750,8.7,35.1,43.7,23.0,7.8,5.6,15.2,20.3,109.2
21,New Orleans Pelicans,26,241.0,41.7,87.7,.476,11.6,32.3,.358,30.1,55.3,.545,18.2,24.9,.730,11.6,34.5,46.0,24.6,7.3,4.0,14.3,17.6,113.2
22,Detroit Pistons,27,245.6,38.6,88.3,.437,12.8,35.9,.356,25.8,52.4,.493,19.0,24.3,.782,10.5,31.9,42.4,24.3,7.6,5.0,14.8,20.6,108.9
23,Orlando Magic,28,240.9,38.9,90.6,.429,11.2,32.3,.346,27.7,58.3,.475,16.0,20.4,.783,11.5,35.3,46.8,22.1,6.9,4.0,13.5,17.1,104.9
24,Minnesota Timberwolves,27,240.9,40.4,91.4,.442,12.5,35.5,.352,27.9,55.9,.499,14.9,20.0,.743,10.8,32.5,43.3,24.6,8.5,5.7,14.2,21.6,108.2
25,Phoenix Suns,26,243.8,41.2,87.3,.472,12.8,35.7,.360,28.4,51.6,.550,15.5,18.6,.831,8.8,35.8,44.7,25.8,6.2,4.1,13.4,20.8,110.8
26,Miami Heat,27,241.9,38.1,82.4,.463,13.0,36.9,.352,25.1,45.5,.553,17.3,22.1,.785,7.1,34.9,42.0,25.4,6.8,3.9,16.4,19.8,106.6
27,Boston Celtics,26,240.0,40.6,88.3,.460,12.4,32.7,.379,28.2,55.7,.507,16.5,22.0,.750,11.1,33.0,44.1,22.0,8.2,4.7,14.2,20.8,110.1
28,Washington Wizards,25,240.0,40.8,90.4,.451,11.5,34.1,.338,29.3,56.4,.520,20.1,26.4,.761,10.1,34.4,44.4,24.8,7.3,3.8,14.1,22.4,113.2
29,Oklahoma City Thunder,26,242.9,40.0,88.8,.450,12.7,37.5,.339,27.2,51.3,.531,15.0,20.5,.731,7.9,37.1,45.0,23.5,7.3,4.5,14.6,18.0,107.6
30,Memphis Grizzlies,22,241.1,42.5,91.2,.466,11.5,31.6,.365,31.0,59.6,.520,14.6,18.7,.783,11.0,33.3,44.4,28.6,9.8,5.0,14.1,19.0,111.3
,League Average,27,241.5,41.0,88.5,.463,12.8,34.9,.368,28.2,53.7,.525,17.2,22.2,.775,9.9,34.6,44.5,24.7,7.5,5.0,14.2,19.8,112.1
