Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brooklyn Nets,29,243.4,43.8,87.7,.500,14.9,37.0,.404,28.9,50.7,.570,18.9,23.0,.821,8.4,35.7,44.1,27.1,6.3,5.7,15.2,19.7,121.4
2,Los Angeles Clippers,29,240.0,41.9,86.1,.487,14.5,34.2,.424,27.4,51.9,.528,17.7,20.9,.847,9.4,34.5,43.9,24.6,7.6,4.7,13.2,19.1,116.1
3,Milwaukee Bucks,27,240.0,45.2,91.9,.492,15.2,38.2,.399,30.0,53.7,.558,15.1,20.7,.730,10.6,37.2,47.8,26.5,8.3,4.8,13.6,18.3,120.7
4,Utah Jazz,28,240.0,40.9,87.3,.468,16.8,42.4,.395,24.1,44.9,.537,17.2,22.3,.774,11.0,37.5,48.5,23.7,6.0,5.8,14.5,18.9,115.7
5,Philadelphia 76ers,28,240.9,41.6,86.6,.481,10.4,28.9,.359,31.3,57.8,.541,20.8,26.7,.780,10.4,35.2,45.5,23.1,8.6,6.0,15.6,20.2,114.5
6,Golden State Warriors,28,240.0,41.3,89.0,.464,14.3,38.1,.375,27.0,50.9,.530,17.6,22.6,.778,8.0,35.8,43.8,27.4,7.6,5.6,14.4,22.4,114.5
7,Los Angeles Lakers,28,243.6,42.3,87.1,.485,10.9,30.2,.359,31.4,56.9,.552,17.5,23.4,.748,9.7,36.1,45.8,25.1,7.1,6.1,15.0,18.7,112.9
8,Dallas Mavericks,28,240.9,40.7,87.5,.465,13.0,37.3,.350,27.7,50.2,.551,18.4,23.4,.785,8.6,33.8,42.3,23.1,6.5,4.5,12.1,21.1,112.9
9,Indiana Pacers,28,242.7,42.3,89.3,.473,12.4,33.8,.367,29.9,55.5,.538,15.7,20.4,.771,8.7,34.0,42.7,26.6,8.4,6.1,13.5,20.6,112.7
10,Charlotte Hornets,28,240.9,40.8,89.3,.457,13.8,36.3,.379,27.1,53.0,.511,15.9,20.7,.767,11.1,33.5,44.6,27.5,7.9,4.9,14.9,18.4,111.3
11,Toronto Raptors,27,240.0,40.1,89.0,.451,15.6,40.5,.386,24.5,48.5,.505,18.0,21.9,.824,9.9,32.2,42.0,25.0,9.0,5.5,13.9,22.3,113.9
12,Sacramento Kings,27,240.9,42.3,88.4,.478,12.3,33.4,.368,30.0,55.0,.545,17.0,23.5,.721,10.3,32.8,43.1,25.7,6.6,5.3,14.2,19.7,113.9
