Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brooklyn Nets,28,243.6,43.6,87.6,.497,14.5,36.6,.396,29.1,51.0,.570,19.3,23.4,.826,8.4,36.0,44.4,27.0,6.3,5.8,15.2,19.9,120.9
2,Milwaukee Bucks,27,240.0,45.2,91.9,.492,15.2,38.2,.399,30.0,53.7,.558,15.1,20.7,.730,10.6,37.2,47.8,26.5,8.3,4.8,13.6,18.3,120.7
3,Los Angeles Clippers,28,240.0,41.8,86.2,.484,14.5,34.3,.422,27.3,51.9,.525,17.8,21.0,.848,9.5,34.6,44.1,24.4,7.7,4.8,13.2,19.0,115.8
4,Los Angeles Lakers,28,243.6,42.3,87.1,.485,10.9,30.2,.359,31.4,56.9,.552,17.5,23.4,.748,9.7,36.1,45.8,25.1,7.1,6.1,15.0,18.7,112.9
5,Dallas Mavericks,28,240.9,40.7,87.5,.465,13.0,37.3,.350,27.7,50.2,.551,18.4,23.4,.785,8.6,33.8,42.3,23.1,6.5,4.5,12.1,21.0,112.9
6,Charlotte Hornets,28,240.9,40.8,89.2,.458,13.8,36.3,.379,27.1,53.0,.511,15.9,20.7,.767,11.1,33.5,44.6,27.5,7.9,4.9,15.0,18.4,111.3
7,Utah Jazz,27,240.0,40.7,87.4,.466,16.7,42.3,.395,24.0,45.1,.532,16.9,21.9,.770,11.2,37.8,49.0,23.9,5.9,5.8,14.6,18.9,115.0
8,Philadelphia 76ers,27,240.9,41.4,86.4,.480,10.4,29.1,.359,31.0,57.3,.541,20.8,26.8,.777,10.3,35.4,45.7,23.3,8.7,6.1,15.7,20.1,114.1
9,Golden State Warriors,27,240.0,41.1,89.1,.462,14.2,38.1,.372,26.9,50.9,.529,17.5,22.7,.772,8.1,35.9,43.9,27.1,7.5,5.4,14.4,22.4,113.9
10,Toronto Raptors,27,240.0,40.1,89.0,.451,15.6,40.5,.386,24.5,48.5,.505,18.0,21.9,.824,9.9,32.2,42.0,25.0,9.0,5.5,13.9,22.3,113.9
11,Indiana Pacers,27,241.9,42.4,89.2,.475,12.6,33.9,.371,29.9,55.4,.539,15.4,20.0,.769,8.7,33.8,42.5,27.0,8.4,5.8,13.3,20.5,112.7
12,Denver Nuggets,26,244.8,43.0,89.8,.479,13.3,35.0,.380,29.7,54.8,.542,16.2,21.1,.770,10.8,33.7,44.4,26.8,8.3,4.4,13.7,19.8,115.5
13,Portland Trail Blazers,26,241.0,40.8,91.8,.445,16.1,41.8,.385,24.7,50.0,.495,17.7,21.4,.826,10.7,33.7,44.3,19.6,7.5,4.7,11.4,19.6,115.5
14,San Antonio Spurs,27,240.9,41.7,91.9,.453,10.8,30.1,.358,30.9,61.9,.499,17.0,21.5,.793,9.3,35.8,45.1,25.2,7.2,5.0,11.1,17.2,111.1
15,Sacramento Kings,26,241.0,42.0,88.2,.476,12.3,33.5,.368,29.7,54.7,.542,17.2,23.9,.719,10.1,33.1,43.2,25.7,6.6,5.3,14.2,19.9,113.4
16,New Orleans Pelicans,26,241.0,41.7,87.7,.476,11.6,32.3,.358,30.1,55.3,.545,18.2,24.9,.730,11.6,34.5,46.0,24.6,7.3,4.0,14.3,17.6,113.2
17,Detroit Pistons,27,245.6,38.6,88.3,.437,12.8,35.9,.356,25.8,52.4,.493,19.0,24.3,.782,10.5,31.9,42.4,24.3,7.6,5.0,14.8,20.6,108.9
18,Orlando Magic,28,240.9,38.9,90.6,.429,11.2,32.3,.346,27.7,58.3,.475,16.0,20.4,.783,11.5,35.3,46.8,22.1,6.9,4.0,13.5,17.1,104.9
19,Atlanta Hawks,26,241.9,39.6,88.2,.449,12.4,34.8,.356,27.2,53.3,.510,21.3,26.1,.816,11.0,35.3,46.3,24.9,6.6,4.8,14.3,20.3,112.8
20,Minnesota Timberwolves,27,240.9,40.4,91.4,.442,12.5,35.5,.352,27.9,55.9,.499,14.9,20.0,.743,10.8,32.5,43.3,24.6,8.5,5.7,14.2,21.6,108.2
21,Cleveland Cavaliers,28,243.6,39.5,87.9,.450,9.0,26.6,.340,30.5,61.3,.497,16.0,22.4,.716,11.4,32.1,43.5,23.2,8.4,5.2,15.3,19.2,104.1
22,New York Knicks,28,240.0,38.7,85.8,.451,9.8,27.5,.355,28.9,58.3,.496,16.3,21.4,.761,10.6,36.6,47.1,21.1,6.7,4.9,13.6,20.9,103.4
23,Phoenix Suns,26,243.8,41.2,87.3,.472,12.8,35.7,.360,28.4,51.6,.550,15.5,18.6,.831,8.8,35.8,44.7,25.8,6.2,4.1,13.4,20.8,110.8
24,Chicago Bulls,25,241.0,42.3,88.1,.480,13.7,35.9,.382,28.6,52.2,.548,16.4,20.5,.799,8.8,34.8,43.6,26.3,7.3,4.1,16.4,20.4,114.7
25,Boston Celtics,26,240.0,40.6,88.3,.460,12.4,32.7,.379,28.2,55.7,.507,16.5,22.0,.750,11.1,33.0,44.1,22.0,8.2,4.7,14.2,20.8,110.1
26,Houston Rockets,26,241.0,39.2,87.8,.446,14.0,40.7,.345,25.2,47.2,.533,16.4,21.9,.750,8.7,35.2,43.8,23.0,7.8,5.7,15.1,20.3,108.8
27,Oklahoma City Thunder,26,242.9,40.0,88.8,.450,12.7,37.5,.339,27.2,51.3,.531,15.0,20.5,.731,7.9,37.1,45.0,23.5,7.3,4.5,14.6,18.0,107.6
28,Miami Heat,26,241.9,37.8,82.1,.461,13.2,37.0,.357,24.7,45.1,.546,17.3,22.1,.784,7.0,35.1,42.1,25.4,6.8,3.8,16.8,19.7,106.2
29,Washington Wizards,24,240.0,40.5,90.4,.448,11.5,34.3,.336,29.0,56.1,.517,20.0,26.3,.762,10.1,34.3,44.3,24.8,7.0,3.9,14.1,22.3,112.5
30,Memphis Grizzlies,22,241.1,42.5,91.2,.466,11.5,31.6,.365,31.0,59.6,.520,14.6,18.7,.783,11.0,33.3,44.4,28.6,9.8,5.0,14.1,19.0,111.3
,League Average,27,241.5,41.0,88.5,.463,12.8,34.9,.368,28.1,53.6,.525,17.1,22.1,.774,9.9,34.6,44.6,24.7,7.5,4.9,14.2,19.8,111.9
