Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brooklyn Nets,30,243.3,43.9,87.5,.502,15.1,37.1,.407,28.8,50.4,.572,18.7,22.7,.824,8.3,35.6,43.9,27.2,6.2,5.7,15.0,19.4,121.7
2,Los Angeles Clippers,30,240.0,41.8,86.1,.485,14.3,34.0,.422,27.5,52.2,.527,17.5,20.8,.841,9.4,34.7,44.0,24.4,7.5,4.6,13.3,19.1,115.4
3,Milwaukee Bucks,28,240.0,45.0,91.6,.491,15.2,38.1,.398,29.8,53.4,.558,15.3,20.9,.732,10.4,37.1,47.6,26.5,8.4,4.8,13.8,18.2,120.5
4,Utah Jazz,29,240.0,40.9,87.7,.466,16.6,42.3,.393,24.3,45.4,.535,17.2,22.2,.776,11.2,37.4,48.7,23.6,6.2,5.7,14.4,18.8,115.6
5,Golden State Warriors,29,240.9,41.3,89.2,.463,14.4,38.6,.374,26.9,50.7,.532,17.6,22.6,.777,8.0,35.8,43.8,27.6,7.7,5.4,14.4,22.3,114.7
6,Philadelphia 76ers,29,240.9,41.6,86.4,.481,10.4,28.8,.362,31.1,57.7,.540,21.1,26.9,.784,10.2,35.3,45.6,23.1,8.7,6.0,15.8,20.2,114.6
7,Indiana Pacers,29,243.4,42.5,89.6,.475,12.4,33.6,.371,30.1,56.0,.537,16.0,20.6,.774,8.7,34.2,43.0,26.8,8.3,6.1,13.5,20.5,113.4
8,Los Angeles Lakers,29,243.4,42.2,86.7,.487,10.9,30.1,.361,31.4,56.7,.554,17.5,23.3,.750,9.6,35.9,45.5,24.9,7.1,6.1,15.1,18.6,112.9
9,Portland Trail Blazers,28,240.9,41.1,91.9,.447,16.3,42.0,.389,24.8,49.9,.496,17.4,21.1,.822,10.7,33.5,44.2,20.1,7.4,4.9,11.3,19.7,115.8
10,Denver Nuggets,28,244.5,43.0,89.6,.480,13.3,35.0,.378,29.8,54.6,.545,16.1,20.8,.776,10.8,33.4,44.1,26.6,8.4,4.5,13.8,20.0,115.4
11,New Orleans Pelicans,28,240.9,42.3,87.8,.481,12.0,32.5,.368,30.3,55.3,.548,18.2,24.8,.733,11.8,34.5,46.3,24.9,7.5,3.9,14.4,17.6,114.6
12,Toronto Raptors,28,240.0,40.3,89.0,.453,15.7,40.6,.386,24.6,48.5,.508,17.9,21.9,.820,9.8,32.3,42.1,25.0,9.0,5.5,13.9,22.1,114.3
13,Atlanta Hawks,28,241.8,39.6,87.6,.452,12.2,34.4,.354,27.4,53.3,.515,21.7,26.5,.821,10.9,34.9,45.8,24.4,6.6,4.8,14.3,20.1,113.1
14,Dallas Mavericks,28,240.9,40.7,87.5,.465,13.0,37.3,.350,27.7,50.2,.551,18.4,23.4,.785,8.6,33.8,42.3,23.1,6.5,4.5,12.1,21.0,112.9
15,Minnesota Timberwolves,29,241.7,40.5,92.0,.440,12.7,35.6,.357,27.8,56.4,.493,15.0,20.0,.751,10.8,32.3,43.1,25.0,8.7,5.7,14.1,21.7,108.8
16,Charlotte Hornets,28,240.9,40.8,89.3,.457,13.8,36.3,.379,27.1,53.0,.511,15.9,20.7,.767,11.1,33.5,44.6,27.5,7.9,4.9,14.9,18.4,111.3
17,New York Knicks,30,240.0,38.6,85.8,.450,9.9,27.7,.357,28.7,58.1,.494,16.4,21.5,.766,10.5,36.4,46.9,20.9,6.6,4.9,13.5,20.7,103.5
18,Chicago Bulls,27,241.9,42.3,88.5,.478,13.5,35.5,.380,28.9,53.0,.544,16.4,20.7,.794,8.9,35.4,44.3,26.4,7.3,4.1,16.3,20.6,114.6
19,Boston Celtics,28,240.0,40.5,88.0,.461,12.4,32.9,.376,28.1,55.0,.511,16.8,22.1,.761,11.0,32.8,43.8,22.1,8.2,4.5,14.5,21.1,110.3
20,Sacramento Kings,27,240.9,42.3,88.4,.478,12.3,33.4,.368,30.0,55.0,.545,17.0,23.5,.721,10.3,32.8,43.1,25.7,6.6,5.3,14.2,19.7,113.9
21,Houston Rockets,28,240.9,39.4,88.1,.448,13.9,40.8,.340,25.6,47.4,.540,16.6,22.2,.750,8.7,34.9,43.6,23.1,8.0,5.6,15.3,20.5,109.4
