Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22,Detroit Pistons,28,245.4,38.5,88.0,.438,12.6,35.6,.354,25.9,52.4,.495,19.0,24.3,.784,10.4,32.0,42.4,23.9,7.6,4.9,14.7,20.6,108.7
23,Orlando Magic,29,240.9,39.0,90.7,.430,11.3,32.4,.350,27.6,58.3,.474,15.7,20.0,.781,11.4,35.5,46.9,22.2,7.0,4.1,13.5,17.1,104.9
24,Oklahoma City Thunder,28,242.7,39.7,88.3,.449,12.9,37.5,.343,26.8,50.8,.528,15.5,21.0,.738,7.8,37.0,44.9,23.5,7.2,4.4,14.6,18.1,107.7
25,Cleveland Cavaliers,29,243.4,39.4,88.1,.448,9.0,26.7,.337,30.4,61.4,.496,16.0,22.3,.718,11.5,32.2,43.7,23.0,8.5,5.1,15.4,19.4,103.9
26,Phoenix Suns,27,243.7,41.5,87.4,.475,13.0,35.8,.362,28.5,51.6,.553,15.3,18.4,.835,8.7,35.6,44.3,25.9,6.3,4.1,13.1,20.6,111.3
27,San Antonio Spurs,27,240.9,41.7,91.9,.453,10.8,30.1,.358,30.9,61.8,.500,17.0,21.5,.793,9.3,35.9,45.1,25.2,7.1,5.0,11.1,17.2,111.1
28,Miami Heat,28,242.7,38.4,82.9,.463,13.0,36.9,.352,25.4,46.0,.551,17.1,21.7,.788,7.1,35.1,42.3,25.5,6.8,3.9,16.5,19.9,106.8
29,Washington Wizards,26,240.0,40.9,90.3,.453,11.7,34.0,.342,29.3,56.2,.521,20.4,26.7,.763,10.1,34.4,44.5,25.0,7.3,3.8,14.2,22.3,113.9
30,Memphis Grizzlies,24,241.0,42.5,90.8,.468,11.6,31.3,.371,30.9,59.4,.520,15.2,19.3,.788,10.8,33.0,43.8,28.5,10.0,4.7,14.3,18.9,111.8
,League Average,28,241.6,41.1,88.5,.464,12.9,34.9,.369,28.2,53.6,.526,17.2,22.1,.777,9.9,34.6,44.5,24.7,7.5,4.9,14.2,19.8,112.2
