Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brooklyn Nets,30,243.3,43.9,87.5,.502,15.1,37.1,.407,28.8,50.4,.572,18.7,22.7,.824,8.3,35.6,43.9,27.2,6.2,5.7,15.0,19.4,121.7
2,Milwaukee Bucks,28,240.0,45.0,91.6,.491,15.2,38.1,.398,29.8,53.4,.558,15.3,20.9,.732,10.4,37.1,47.6,26.5,8.4,4.8,13.8,18.2,120.5
3,Los Angeles Clippers,29,240.0,41.9,86.1,.487,14.5,34.2,.424,27.4,51.9,.528,17.7,20.9,.847,9.4,34.5,43.9,24.6,7.6,4.7,13.2,19.1,116.1
4,Los Angeles Lakers,29,243.4,42.2,86.7,.487,10.9,30.1,.361,31.4,56.7,.554,17.5,23.3,.750,9.6,35.9,45.5,24.9,7.1,6.1,15.1,18.6,112.9
5,Utah Jazz,28,240.0,40.9,87.3,.468,16.8,42.4,.395,24.1,44.9,.537,17.2,22.3,.774,11.0,37.5,48.5,23.7,6.0,5.8,14.5,18.9,115.7
6,Philadelphia 76ers,28,240.9,41.6,86.6,.481,10.4,28.9,.359,31.3,57.8,.541,20.8,26.7,.780,10.4,35.2,45.5,23.1,8.6,6.0,15.6,20.2,114.5
7,Golden State Warriors,28,240.0,41.3,89.0,.464,14.3,38.1,.375,27.0,50.9,.530,17.6,22.6,.778,8.0,35.8,43.8,27.4,7.6,5.6,14.4,22.4,114.5
8,Toronto Raptors,28,240.0,40.3,89.0,.453,15.7,40.6,.386,24.6,48.5,.508,17.9,21.9,.820,9.8,32.3,42.1,25.0,9.0,5.5,13.9,22.1,114.3
9,Dallas Mavericks,28,240.9,40.7,87.5,.465,13.0,37.3,.350,27.7,50.2,.551,18.4,23.4,.785,8.6,33.8,42.3,23.1,6.5,4.5,12.1,21.0,112.9
10,Indiana Pacers,28,242.7,42.3,89.3,.473,12.4,33.8,.367,29.9,55.5,.538,15.7,20.4,.771,8.7,34.0,42.7,26.6,8.4,6.1,13.5,20.6,112.7
11,Portland Trail Blazers,27,240.9,40.9,92.0,.444,16.3,42.0,.387,24.6,50.0,.493,17.4,21.2,.820,10.8,33.9,44.7,19.9,7.4,4.8,11.4,19.7,115.4
12,Charlotte Hornets,28,240.9,40.8,89.3,.457,13.8,36.3,.379,27.1,53.0,.511,15.9,20.7,.767,11.1,33.5,44.6,27.5,7.9,4.9,14.9,18.4,111.3
13,Denver Nuggets,27,244.6,42.8,89.6,.478,13.1,34.9,.375,29.7,54.6,.544,16.1,20.9,.774,10.8,33.4,44.2,26.7,8.4,4.4,13.8,19.7,114.9
14,New Orleans Pelicans,27,240.9,42.2,87.8,.481,11.9,32.6,.364,30.4,55.2,.550,18.0,24.6,.731,11.6,34.5,46.1,24.9,7.6,4.0,14.5,17.7,114.3
15,Sacramento Kings,27,240.9,42.3,88.4,.478,12.3,33.4,.368,30.0,55.0,.545,17.0,23.5,.721,10.3,32.8,43.1,25.7,6.6,5.3,14.2,19.7,113.9
16,Atlanta Hawks,27,241.9,39.4,88.0,.448,12.3,34.7,.355,27.1,53.3,.509,21.6,26.3,.820,11.0,35.1,46.1,24.6,6.6,4.9,14.2,20.2,112.8
17,Minnesota Timberwolves,28,240.9,40.4,91.5,.441,12.6,35.5,.356,27.7,56.0,.495,14.7,19.8,.744,10.8,32.3,43.1,24.6,8.6,5.6,14.3,21.8,108.1
18,New York Knicks,29,240.0,38.8,85.7,.453,10.0,27.7,.361,28.8,58.0,.496,16.4,21.6,.763,10.6,36.4,47.0,21.1,6.6,4.9,13.4,21.0,104.0
19,Cleveland Cavaliers,29,243.4,39.4,88.1,.448,9.0,26.7,.337,30.4,61.4,.496,16.0,22.3,.718,11.5,32.2,43.7,23.0,8.5,5.1,15.4,19.4,103.9
20,Phoenix Suns,27,243.7,41.5,87.4,.475,13.0,35.8,.362,28.5,51.6,.553,15.3,18.4,.835,8.7,35.6,44.3,25.9,6.3,4.1,13.1,20.6,111.3
21,San Antonio Spurs,27,240.9,41.7,91.9,.453,10.8,30.1,.358,30.9,61.8,.500,17.0,21.5,.793,9.3,35.9,45.1,25.2,7.1,5.0,11.1,17.2,111.1
22,Chicago Bulls,26,241.9,42.4,88.6,.478,13.7,35.8,.383,28.7,52.8,.543,16.5,20.5,.801,9.0,35.3,44.2,26.3,7.2,4.0,16.5,20.6,114.9
23,Boston Celtics,27,240.0,40.6,88.0,.461,12.5,33.0,.378,28.1,55.0,.510,16.6,21.9,.755,11.0,33.0,44.0,22.1,8.2,4.6,14.4,20.9,110.1
24,Houston Rockets,27,240.9,39.3,88.0,.447,13.8,40.5,.341,25.5,47.4,.538,16.7,22.3,.750,8.7,35.1,43.7,23.0,7.8,5.6,15.2,20.3,109.2
25,Detroit Pistons,27,245.6,38.6,88.3,.437,12.8,35.9,.356,25.8,52.4,.493,19.0,24.3,.782,10.5,31.9,42.4,24.3,7.6,5.0,14.8,20.6,108.9
26,Orlando Magic,28,240.9,38.9,90.6,.429,11.2,32.3,.346,27.7,58.3,.475,16.0,20.4,.783,11.5,35.3,46.8,22.1,6.9,4.0,13.5,17.1,104.9
27,Oklahoma City Thunder,27,242.8,39.9,88.7,.449,12.6,37.3,.338,27.2,51.3,.530,15.1,20.7,.732,7.9,37.2,45.1,23.4,7.3,4.5,14.5,17.9,107.5
28,Miami Heat,27,241.9,38.1,82.4,.463,13.0,36.9,.352,25.1,45.5,.553,17.3,22.1,.785,7.1,34.9,42.0,25.4,6.8,3.9,16.4,19.8,106.6
